time,seconds_elapsed,relativeAltitude,pressure
1670841458316415200,234.82241528320313,-585.414306640625,754.153076171875
1670841458356416000,234.862416015625,-585.3349609375,754.145751953125
1670841458396416500,234.90241650390624,-584.7880859375,754.093994140625
1670841458436416000,234.942416015625,-586.571533203125,754.2626953125
1670841458476416000,234.982416015625,-586.267822265625,754.23388671875
1670841458516416300,235.02241625976563,-585.54638671875,754.165771484375
1670841458556416500,235.06241650390626,-584.84619140625,754.099609375
1670841458596415700,235.10241577148437,-585.195068359375,754.132568359375
1670841458636417000,235.1424169921875,-585.95068359375,754.203857421875
1670841458676415700,235.1824157714844,-586.83837890625,754.287841796875
1670841458716415500,235.22241552734374,-586.030029296875,754.21142578125
1670841458756415500,235.26241552734376,-585.509521484375,754.162109375
1670841458796415500,235.30241552734375,-585.852783203125,754.194580078125
1670841458836415700,235.34241577148438,-585.691650390625,754.179443359375
1670841458876417500,235.38241748046875,-586.217529296875,754.229248046875
1670841458916416800,235.42241674804689,-586.3681640625,754.243408203125
1670841458956415500,235.46241552734375,-586.307373046875,754.23779296875
1670841458996416500,235.50241650390626,-587.071044921875,754.309814453125
1670841459036416500,235.54241650390625,-587.05517578125,754.308349609375
1670841459076416300,235.58241625976564,-588.24951171875,754.42138671875
1670841459116416300,235.62241625976563,-588.009033203125,754.398681640625
1670841459156415500,235.66241552734374,-588.431640625,754.438720703125
1670841459196415700,235.70241577148437,-588.381591796875,754.433837890625
1670841459236415500,235.74241552734375,-588.170166015625,754.413818359375
1670841459276415500,235.78241552734374,-588.59814453125,754.454345703125
1670841459316415500,235.82241552734374,-587.554443359375,754.355712890625
1670841459356415700,235.86241577148436,-588.896728515625,754.482666015625
1670841459396416500,235.90241650390624,-587.720947265625,754.371337890625
1670841459436416000,235.942416015625,-586.724853515625,754.277099609375
1670841459476416500,235.98241650390625,-587.34326171875,754.335693359375
1670841459516416000,236.022416015625,-586.069580078125,754.215087890625
1670841459556416300,236.06241625976563,-588.3076171875,754.4267578125
1670841459596416500,236.10241650390626,-585.916259765625,754.20068359375
